시도,시군구,생년,RFID구분,축종,품종,마릿수
"충청남도","천안시","2023","외장형","개","베들링턴 테리어",3
"충청남도","천안시","2023","외장형","개","보더 콜리",13
"충청남도","천안시","2023","내장형","개","보더 콜리",12
"충청남도","천안시","2023","외장형","개","비글",3
"충청남도","천안시","2023","외장형","개","비숑 프리제",339
"충청남도","천안시","2023","내장형","개","비숑 프리제",54
"충청남도","천안시","2023","외장형","개","빠삐용",1
"충청남도","천안시","2023","외장형","개","사모예드",3
"충청남도","천안시","2023","내장형","개","사모예드",2
"충청남도","천안시","2023","외장형","개","샤페이",1
"충청남도","천안시","2023","외장형","개","셔틀랜드 쉽독",1
"충청남도","천안시","2023","내장형","개","셔틀랜드 쉽독",2
"충청남도","천안시","2023","외장형","개","셰퍼드",1
"충청남도","천안시","2023","내장형","개","셰퍼드",2
"충청남도","천안시","2023","외장형","개","슈나우져",2
"충청남도","천안시","2023","외장형","개","스코티쉬 테리어",1
"충청남도","천안시","2023","외장형","개","스탠다드 푸들",3
"충청남도","천안시","2023","내장형","개","스탠다드 푸들",1
"충청남도","천안시","2023","외장형","개","스피츠",2
"충청남도","천안시","2023","외장형","개","시바",41
"충청남도","천안시","2023","내장형","개","시바",5
"충청남도","천안시","2023","외장형","개","시베리안 허스키",3
"충청남도","천안시","2023","내장형","개","시베리안 허스키",1
"충청남도","천안시","2023","외장형","개","시츄",18
"충청남도","천안시","2013","외장형","개","풍산견",9
"충청남도","천안시","2013","내장형","개","풍산견",4
"충청남도","천안시","2013","외장형","개","프렌치 불독",7
"충청남도","천안시","2013","인식표","개","프렌치 불독",1
"충청남도","천안시","2013","내장형","개","프렌치 불독",6
"충청남도","천안시","2013","외장형","개","핏불테리어",1
"충청남도","천안시","2013","외장형","개","화이트테리어",1
"충청남도","천안시","2013","인식표","개","화이트테리어",1
"충청남도","천안시","2013","내장형","개","화이트테리어",1
"충청남도","천안시","2014","외장형","개","골든 리트리버",10
"충청남도","천안시","2014","인식표","개","골든 리트리버",2
"충청남도","천안시","2014","내장형","개","골든 리트리버",7
"충청남도","천안시","2014","외장형","개","그레이트 피레니즈",1
"충청남도","천안시","2014","내장형","개","그레이트 피레니즈",1
"충청남도","천안시","2014","외장형","개","기타",12
"충청남도","천안시","2014","인식표","개","기타",1
"충청남도","천안시","2014","내장형","개","기타",7
"충청남도","천안시","2014","내장형","개","꼬똥 드 뚤레아",1
"충청남도","천안시","2014","외장형","개","닥스훈트",12
"충청남도","천안시","2014","인식표","개","닥스훈트",7
"충청남도","천안시","2014","내장형","개","닥스훈트",28
"충청남도","천안시","2014","내장형","개","도고 까니리오",1
"충청남도","천안시","2014","내장형","개","도고 아르젠티노",1
"충청남도","천안시","2014","외장형","개","도베르만",2
"충청남도","천안시","2014","인식표","개","도사",1
"충청남도","천안시","2014","내장형","개","도사",2
"충청남도","천안시","2014","외장형","개","라브라도 리트리버",7
"충청남도","천안시","2014","인식표","개","라브라도 리트리버",5
"충청남도","천안시","2014","내장형","개","라브라도 리트리버",18
"충청남도","천안시","2014","인식표","개","라사 압소",1
"충청남도","천안시","2014","외장형","개","로트와일러",3
"충청남도","천안시","2014","내장형","개","로트와일러",1
"충청남도","천안시","2014","인식표","개","말라뮤트",3
"충청남도","천안시","2014","내장형","개","말라뮤트",2
"충청남도","천안시","2014","외장형","개","말티즈",230
"충청남도","천안시","2014","인식표","개","말티즈",107
"충청남도","천안시","2014","내장형","개","말티즈",266
"충청남도","천안시","2014","외장형","개","미니어쳐 닥스훈트",1
"충청남도","천안시","2014","외장형","개","미니어쳐 슈나우저",4
"충청남도","천안시","2014","내장형","개","미니어쳐 슈나우저",2
"충청남도","천안시","2014","외장형","개","미니어쳐 푸들",9
"충청남도","천안시","2014","인식표","개","미니어쳐 푸들",1
"충청남도","천안시","2014","외장형","개","미니어쳐 핀셔",9
"충청남도","천안시","2014","인식표","개","미니어쳐 핀셔",4
"충청남도","천안시","2014","내장형","개","미니어쳐 핀셔",12
"충청남도","천안시","2018","외장형","개","아메리칸불리",1
"충청남도","천안시","2018","인식표","개","아메리칸불리",1
"충청남도","천안시","2018","내장형","개","아메리칸불리",1
"충청남도","천안시","2018","내장형","개","아프간 하운드",1
"충청남도","천안시","2018","외장형","개","알라스칸 말라뮤트",1
"충청남도","천안시","2011","내장형","개","잉글리쉬 코카 스파니엘",1
"충청남도","천안시","2011","외장형","개","재패니즈 스피츠",1
"충청남도","천안시","2011","내장형","개","재패니즈 스피츠",2
"충청남도","천안시","2011","외장형","개","제페니즈칭",1
"충청남도","천안시","2011","내장형","개","제페니즈칭",2
"충청남도","천안시","2011","외장형","개","진도견",37
"충청남도","천안시","2011","인식표","개","진도견",5
"충청남도","천안시","2011","내장형","개","진도견",13
"충청남도","천안시","2011","외장형","개","차우차우",1
"충청남도","천안시","2011","외장형","개","차이니즈 크레스티드 독",1
"충청남도","천안시","2011","외장형","개","치와와",34
"충청남도","천안시","2011","인식표","개","치와와",6
"충청남도","천안시","2011","내장형","개","치와와",22
"충청남도","천안시","2011","외장형","개","코카 스파니엘",14
"충청남도","천안시","2011","내장형","개","코카 스파니엘",7
"충청남도","천안시","2011","외장형","개","토이 푸들",7
"충청남도","천안시","2011","인식표","개","토이 푸들",5
"충청남도","천안시","2011","내장형","개","토이 푸들",4
"충청남도","천안시","2011","인식표","개","퍼그",1
"충청남도","천안시","2011","내장형","개","퍼그",3
"충청남도","천안시","2011","외장형","개","페키니즈",8
"충청남도","천안시","2011","인식표","개","페키니즈",1
"충청남도","천안시","2011","내장형","개","페키니즈",2
"충청남도","천안시","2011","내장형","개","페터데일테리어",1
"충청남도","천안시","2011","외장형","개","포메라니안",71
"충청남도","천안시","2011","인식표","개","포메라니안",16
"충청남도","천안시","2011","내장형","개","포메라니안",50
"충청남도","천안시","2011","내장형","개","포인터",1
"충청남도","천안시","2011","외장형","개","푸들",105
"충청남도","천안시","2011","인식표","개","푸들",30
"충청남도","천안시","2011","내장형","개","푸들",76
"충청남도","천안시","2011","외장형","개","풍산견",3
"충청남도","천안시","2011","내장형","개","풍산견",2
"충청남도","천안시","2011","외장형","개","프렌치 불독",6
"충청남도","천안시","2011","인식표","개","프렌치 불독",3
"충청남도","천안시","2011","내장형","개","프렌치 불독",1
"충청남도","천안시","2012","외장형","개","골든 리트리버",13
"충청남도","천안시","2012","인식표","개","골든 리트리버",1
"충청남도","천안시","2012","내장형","개","골든 리트리버",10
"충청남도","천안시","2012","외장형","개","기타",5
"충청남도","천안시","2012","인식표","개","기타",1
"충청남도","천안시","2012","내장형","개","기타",3
"충청남도","천안시","2012","외장형","개","닥스훈트",22
"충청남도","천안시","2012","인식표","개","닥스훈트",6
"충청남도","천안시","2012","내장형","개","닥스훈트",21
"충청남도","천안시","2012","내장형","개","도고 까니리오",1
"충청남도","천안시","2012","외장형","개","라브라도 리트리버",1
"충청남도","천안시","2012","인식표","개","라브라도 리트리버",1
"충청남도","천안시","2015","외장형","개","티베탄 마스티프",1
"충청남도","천안시","2015","외장형","개","퍼그",3
"충청남도","천안시","2015","인식표","개","퍼그",3
"충청남도","천안시","2015","내장형","개","퍼그",4
"충청남도","천안시","2015","외장형","개","페키니즈",3
"충청남도","천안시","2015","인식표","개","페키니즈",4
"충청남도","천안시","2015","내장형","개","페키니즈",5
"충청남도","천안시","2015","외장형","개","페터데일테리어",1
"충청남도","천안시","2015","내장형","개","페터데일테리어",3
"충청남도","천안시","2015","외장형","개","포메라니안",80
"충청남도","천안시","2015","인식표","개","포메라니안",47
"충청남도","천안시","2015","내장형","개","포메라니안",156
"충청남도","천안시","2015","외장형","개","푸들",142
"충청남도","천안시","2015","인식표","개","푸들",71
"충청남도","천안시","2015","내장형","개","푸들",289
"충청남도","천안시","2015","외장형","개","풍산견",12
"충청남도","천안시","2015","인식표","개","풍산견",1
"충청남도","천안시","2015","내장형","개","풍산견",3
"충청남도","천안시","2015","외장형","개","프렌치 불독",8
"충청남도","천안시","2015","인식표","개","프렌치 불독",4
"충청남도","천안시","2015","내장형","개","프렌치 불독",9
"충청남도","천안시","2015","인식표","개","핏불테리어",1
"충청남도","천안시","2015","내장형","개","화이트테리어",1
"충청남도","천안시","2016","외장형","개","골든 리트리버",12
"충청남도","천안시","2016","인식표","개","골든 리트리버",4
"충청남도","천안시","2016","내장형","개","골든 리트리버",15
"충청남도","천안시","2016","내장형","개","그레이 하운드",2
"충청남도","천안시","2016","내장형","개","그레이트 피레니즈",1
"충청남도","천안시","2016","외장형","개","기타",9
"충청남도","천안시","2016","인식표","개","기타",2
"충청남도","천안시","2016","내장형","개","기타",10
"충청남도","천안시","2016","내장형","개","꼬똥 드 뚤레아",2
"충청남도","천안시","2018","인식표","개","알라스칸 말라뮤트",1
"충청남도","천안시","2018","내장형","개","알라스칸 말라뮤트",1
"충청남도","천안시","2018","외장형","개","올드 잉글리쉬 불독",1
"충청남도","천안시","2018","인식표","개","올드 잉글리쉬 불독",1
"충청남도","천안시","2018","내장형","개","올드 잉글리쉬 불독",4
"충청남도","천안시","2018","외장형","개","올드 잉글리쉬 쉽독",3
"충청남도","천안시","2018","인식표","개","올드 잉글리쉬 쉽독",1
"충청남도","천안시","2018","내장형","개","올드 잉글리쉬 쉽독",4
"충청남도","천안시","2018","외장형","개","요크셔 테리어",15
"충청남도","천안시","2018","인식표","개","요크셔 테리어",7
"충청남도","천안시","2018","내장형","개","요크셔 테리어",23
"충청남도","천안시","2018","외장형","개","웰시 코기 카디건",1
"충청남도","천안시","2018","인식표","개","웰시 코기 카디건",2
"충청남도","천안시","2018","내장형","개","웰시 코기 카디건",6
"충청남도","천안시","2018","외장형","개","웰시 코기 펨브로크",17
"충청남도","천안시","2018","인식표","개","웰시 코기 펨브로크",8
"충청남도","천안시","2018","내장형","개","웰시 코기 펨브로크",42
"충청남도","천안시","2018","외장형","개","이탈리안 그레이 하운드",2
"충청남도","천안시","2018","인식표","개","이탈리안 그레이 하운드",5
"충청남도","천안시","2018","내장형","개","이탈리안 그레이 하운드",6
"충청남도","천안시","2018","외장형","개","잉글리쉬 세터",1
"충청남도","천안시","2018","인식표","개","잉글리쉬 코카 스파니엘",1
"충청남도","천안시","2018","외장형","개","재패니즈 스피츠",4
"충청남도","천안시","2018","인식표","개","재패니즈 스피츠",2
"충청남도","천안시","2018","내장형","개","재패니즈 스피츠",1
"충청남도","천안시","2018","외장형","개","잭 러셀 테리어",1
"충청남도","천안시","2018","인식표","개","잭 러셀 테리어",1
"충청남도","천안시","2018","내장형","개","잭 러셀 테리어",3
"충청남도","천안시","2018","내장형","개","저먼 셰퍼드 독",2
"충청남도","천안시","2018","내장형","개","저먼 포인터",2
"충청남도","천안시","2018","내장형","개","제페니즈칭",1
"충청남도","천안시","2018","외장형","개","진도견",22
"충청남도","천안시","2018","인식표","개","진도견",38
"충청남도","천안시","2018","내장형","개","진도견",36
"충청남도","천안시","2018","인식표","개","차우차우",2
"충청남도","천안시","2018","내장형","개","차우차우",1
"충청남도","천안시","2018","인식표","개","차이니즈 크레스티드 독",1
"충청남도","천안시","2018","내장형","개","차이니즈 크레스티드 독",2
"충청남도","천안시","2018","외장형","개","치와와",50
"충청남도","천안시","2018","인식표","개","치와와",28
"충청남도","천안시","2018","내장형","개","치와와",97
"충청남도","천안시","2018","외장형","개","카네 코르소",3
"충청남도","천안시","2018","내장형","개","카네 코르소",1
"충청남도","천안시","2018","외장형","개","캐벌리어 킹 찰스 스파니엘",1
"충청남도","천안시","2023","내장형","개","시츄",2
"충청남도","천안시","2023","외장형","개","오스트랄리안 셰퍼드 독",1
"충청남도","천안시","2023","외장형","개","올드 잉글리쉬 쉽독",1
"충청남도","천안시","2023","내장형","개","올드 잉글리쉬 쉽독",1
"충청남도","천안시","2023","외장형","개","요크셔 테리어",7
"충청남도","천안시","2023","내장형","개","요크셔 테리어",3
"충청남도","천안시","2023","내장형","개","웨스트하이랜드화이트테리어",1
"충청남도","천안시","2023","내장형","개","웰시 코기 카디건",1
"충청남도","천안시","2023","외장형","개","웰시 코기 펨브로크",19
"충청남도","천안시","2023","내장형","개","웰시 코기 펨브로크",3
"충청남도","천안시","2023","외장형","개","이탈리안 그레이 하운드",28
"충청남도","천안시","2023","내장형","개","이탈리안 그레이 하운드",5
"충청남도","천안시","2023","내장형","개","잉글리쉬 세터",1
"충청남도","천안시","2023","외장형","개","저먼 셰퍼드 독",1
"충청남도","천안시","2023","내장형","개","저먼 셰퍼드 독",6
"충청남도","천안시","2023","외장형","개","진도견",6
"충청남도","천안시","2023","내장형","개","진도견",29
"충청남도","천안시","2023","외장형","개","차우차우",2
"충청남도","천안시","2023","내장형","개","차우차우",1
"충청남도","천안시","2023","내장형","개","차이니즈 크레스티드 독",1
"충청남도","천안시","2023","외장형","개","치와와",37
"충청남도","천안시","2023","내장형","개","치와와",6
"충청남도","천안시","2023","외장형","개","캐벌리어 킹 찰스 스파니엘",2
"충청남도","천안시","2023","외장형","개","코카 스파니엘",3
"충청남도","천안시","2023","내장형","개","코카 스파니엘",1
"충청남도","천안시","2023","외장형","개","토이 푸들",82
"충청남도","천안시","2023","내장형","개","토이 푸들",5
"충청남도","천안시","2023","외장형","개","페키니즈",4
"충청남도","천안시","2023","내장형","개","페키니즈",3
"충청남도","천안시","2023","외장형","개","포메라니안",262
"충청남도","천안시","2023","내장형","개","포메라니안",25
"충청남도","천안시","2023","외장형","개","푸들",181
"충청남도","천안시","2023","내장형","개","푸들",30
"충청남도","천안시","2023","내장형","개","풍산견",3
"충청남도","천안시","2023","외장형","개","프렌치 불독",14
"충청남도","천안시","2023","내장형","개","프렌치 불독",3
"충청남도","천안시","2023","외장형","개","핏불테리어 믹스견",1
"충청남도","천안시","2023","외장형","개","화이트테리어",1
"충청남도","천안시","2023","내장형","개","휘펫",2
"충청남도","천안시","2016","외장형","개","닥스훈트",24
"충청남도","천안시","2016","인식표","개","닥스훈트",12
"충청남도","천안시","2016","내장형","개","닥스훈트",42
"충청남도","천안시","2016","인식표","개","달마시안",1
"충청남도","천안시","2016","내장형","개","달마시안",1
"충청남도","천안시","2016","인식표","개","도고 까니리오",1
"충청남도","천안시","2016","내장형","개","도고 까니리오",2
"충청남도","천안시","2016","내장형","개","도고 아르젠티노",1
"충청남도","천안시","2016","내장형","개","도베르만",2
"충청남도","천안시","2016","내장형","개","동경견",2
"충청남도","천안시","2016","외장형","개","라브라도 리트리버",5
"충청남도","천안시","2016","인식표","개","라브라도 리트리버",5
"충청남도","천안시","2019","인식표","개","포메라니안",71
"충청남도","천안시","2019","내장형","개","포메라니안",233
"충청남도","천안시","2019","인식표","개","포인터",1
"충청남도","천안시","2019","내장형","개","포인터",3
"충청남도","천안시","2019","외장형","개","푸들",100
"충청남도","천안시","2019","인식표","개","푸들",55
"충청남도","천안시","2019","내장형","개","푸들",268
"충청남도","천안시","2019","외장형","개","풍산견",4
"충청남도","천안시","2019","인식표","개","풍산견",1
"충청남도","천안시","2019","내장형","개","풍산견",2
"충청남도","천안시","2019","인식표","개","프레사까나리오",2
"충청남도","천안시","2019","외장형","개","프렌치 불독",19
"충청남도","천안시","2019","인식표","개","프렌치 불독",5
"충청남도","천안시","2019","내장형","개","프렌치 불독",30
"충청남도","천안시","2019","인식표","개","필라 브라질레이로",1
"충청남도","천안시","2019","인식표","개","핏불테리어",1
"충청남도","천안시","2019","내장형","개","핏불테리어",1
"충청남도","천안시","2019","인식표","개","화이트테리어",2
"충청남도","천안시","2019","내장형","개","화이트테리어",2
"충청남도","천안시","2019","인식표","개","휘펫",1
"충청남도","천안시","2019","내장형","개","휘펫",1
"충청남도","천안시","2020","외장형","개","골든 리트리버",13
"충청남도","천안시","2020","인식표","개","골든 리트리버",5
"충청남도","천안시","2020","내장형","개","골든 리트리버",28
"충청남도","천안시","2020","외장형","개","그레이트 덴",1
"충청남도","천안시","2020","외장형","개","기타",17
"충청남도","천안시","2020","인식표","개","기타",1
"충청남도","천안시","2020","내장형","개","기타",8
"충청남도","천안시","2020","외장형","개","꼬똥 드 뚤레아",1
"충청남도","천안시","2020","인식표","개","꼬똥 드 뚤레아",1
"충청남도","천안시","2020","내장형","개","꼬똥 드 뚤레아",5
"충청남도","천안시","2020","외장형","개","닥스훈트",19
"충청남도","천안시","2020","인식표","개","닥스훈트",6
"충청남도","천안시","2020","내장형","개","닥스훈트",19
"충청남도","천안시","2020","외장형","개","달마시안",1
