"행정구역(시군구)별",2024.04,2024.05,2024.06,2024.07,2018,2019,2020,2021,2022,2023
"경기도",6010717,6018450,6025219,6033443,5306214,5468920,5676401,5841995,5913694,5978724
"수원시",539750,540606,540725,540999,492939,498836,506950,517822,528482,537078
"장안구",121550,122288,122464,122686,116250,115180,115738,118432,118811,119900
"권선구",164662,164755,164710,164813,152432,152733,154921,157041,161085,163796
"팔달구",98119,98146,98139,98123,84558,84282,86362,91278,95950,98505
"영통구",155419,155417,155412,155377,139699,146641,149929,151071,152636,154877
"성남시",410855,410743,410877,410971,398412,400460,407912,409320,408195,409602
"수정구",117427,117500,117458,117448,108396,110333,115709,114620,113458,116390
"중원구",101104,101006,101068,101062,99495,99940,101151,100328,100139,101034
"분당구",192324,192237,192351,192461,190521,190187,191052,194372,194598,192178
"의정부시",209716,209721,209610,209504,185319,190760,201630,205792,208352,209891
"안양시",229066,229235,229553,230511,222361,222589,220552,224620,227475,227627
"만안구",101659,101671,101705,101622,102157,100974,101305,103012,102550,101831
"동안구",127407,127564,127848,128889,120204,121615,119247,121608,124925,125796
"부천시",343697,343804,343875,343873,338759,340160,344495,347024,344135,344096
"원미구",174499,174624,174734,174737,-,-,-,-,-,-
"소사구",99209,99213,99239,99216,-,-,-,-,-,-
"오정구",69989,69967,69902,69920,-,-,-,-,-,-
"광명시",114854,114807,114769,114752,128126,126001,120560,119817,118493,115114
"평택시",282309,282631,283006,283323,214409,226020,243838,262097,271362,279835
"송탄출장소",0,0,0,0,-,-,0,-,0,0
"안중출장소",0,0,0,0,-,-,0,-,0,0
"동두천시",43213,43223,43221,43240,42919,42999,43874,44369,43973,43366
"안산시",288799,288964,289009,289025,276662,277331,286061,292113,291091,288567
"상록구",152589,152619,152490,152401,149499,147231,153103,156527,156033,153212
"단원구",136210,136345,136519,136624,127163,130100,132958,135586,135058,135355
"고양시",464691,465298,465622,465788,417607,434028,448574,456852,461459,464380
"덕양구",220289,220390,220563,220594,185883,195766,203939,210486,216683,220682
"일산동구",128927,129460,129718,129856,120658,122981,126569,128436,128567,127885
"일산서구",115475,115448,115341,115338,111066,115281,118066,117930,116209,115813
"과천시",30110,30411,30664,30735,21205,21467,23373,27262,28726,29194
"구리시",80444,80523,80720,80867,79735,79870,81520,80616,80424,80450
"남양주시",306345,306597,306741,306922,264488,276656,285334,299156,304288,304768
"풍양출장소",0,0,0,0,-,-,0,-,0,0
"오산시",107219,107868,108546,109071,89860,95209,99436,102161,103552,104437
"시흥시",228942,228932,228947,228978,181061,194750,211150,220421,223534,228474
"군포시",112979,112933,112863,112852,107548,110005,112476,113205,113878,113032
"의왕시",63514,63192,63112,63066,58946,62387,64690,65734,64839,64402
"하남시",141530,141781,141824,141817,105832,115792,128774,138764,140415,141764
"용인시",438870,440100,440803,441516,390137,406880,420519,429492,432151,435340
"처인구",120314,121483,122012,122630,103300,107544,111684,115048,115654,117863
"기흥구",176021,176161,176360,176463,158468,164904,169979,173844,174294,174971
"수지구",142535,142456,142431,142423,128369,134432,138856,140600,142203,142506
"파주시",223565,223866,224163,224601,188407,191668,200270,211916,218264,220158
"이천시",104176,104540,105489,106021,89596,92643,96799,101417,102618,103793
"안성시",92643,92949,93260,93701,79805,81599,85839,89118,89951,91026
"김포시",205111,205354,205574,205702,166635,174613,193234,200846,202189,204594
"화성시",408571,409113,409777,411307,301025,327797,351924,372888,387820,404623
"화성시동부출장소",0,0,0,0,-,-,0,-,0,0
"화성시동탄출장소",0,0,0,0,-,-,0,-,0,0
"광주시",171889,172038,172209,172776,150055,156884,164320,167673,170497,170845
"양주시",121968,122862,123701,124746,89088,93026,97998,102314,106361,117518
"포천시",73053,73099,73130,73120,69429,69976,71315,73584,73438,72876
"여주시",55875,56013,56095,56156,49542,50334,51748,52731,53946,55514
"연천군",21794,21798,21799,21776,21526,21630,22028,22002,21858,21943
"가평군",32748,32855,32859,32925,30359,30768,31533,31775,32140,32606
"양평군",62421,62594,62676,62802,54422,55782,57675,59094,59788,61811
"강원특별자치도",763568,763999,764385,764811,707245,719524,736301,746220,755481,760635
"춘천시",136782,136911,136914,136892,120190,123006,126685,130277,133668,135498
"원주시",172087,172255,172601,173016,149166,154583,160307,164895,168755,171275
"강릉시",104056,104094,104109,104101,96859,99086,101424,102879,103352,103682
"동해시",43443,43448,43475,43469,40784,41141,42306,42916,43251,43361
"태백시",20275,20255,20249,20247,21832,21798,21588,20731,20324,20377
"속초시",41412,41441,41419,41450,37993,38689,39932,40706,41193,41330
"삼척시",33996,34023,33951,33923,34227,34082,33635,33184,33715,33700
"홍천군",34782,34851,34857,34908,32760,33142,34187,34237,34510,34594
"횡성군",23990,24035,24056,24082,22411,22832,23276,23593,23767,23908
"영월군",21298,21292,21301,21281,21011,21044,21246,21143,21288,21276
"평창군",22063,22078,22071,22093,21172,21379,21618,21665,21927,21993
"정선군",19262,19247,19215,19208,19761,19974,20230,19713,19533,19287
"철원군",20460,20441,20410,20381,21451,21216,21182,20862,20605,20501
"화천군",11976,11950,12038,12091,12564,12603,12862,12556,12114,12052
"양구군",10488,10477,10486,10482,11058,10840,10828,10660,10609,10544
"인제군",16771,16772,16788,16774,15550,15583,15900,16380,16631,16787
"고성군",15392,15400,15398,15368,14763,14445,14546,15064,15291,15431
"양양군",15035,15029,15047,15045,13693,14081,14549,14759,14948,15039
"충청북도",782921,784163,785163,785504,707220,722123,745644,760672,771848,779967
"청주시",400920,401872,402662,403155,353320,360496,376252,387016,393697,399092
"상당구",89900,89805,89756,89697,72401,73870,81185,84548,87184,89763
"서원구",88834,88809,88606,88349,87678,87148,87404,89194,90101,88901
"흥덕구",131859,132987,133961,134682,109293,114477,120261,123699,125730,130239
"청원구",90327,90271,90339,90427,83948,85001,87402,89575,90682,90189
"충주시",102750,102908,103002,102993,93163,95648,98020,99651,100843,102143
"제천시",66378,66376,66305,66200,62367,63417,63945,64540,65436,66038
"보은군",16876,16885,16875,16865,16600,16684,16981,17039,16959,16864
"옥천군",25413,25383,25417,25431,23681,24004,24437,25104,25415,25406
"영동군",23730,23755,23761,23745,24370,24509,24414,23813,23794,23722
"증평군",18983,18971,18981,18963,16854,17283,17697,17832,18583,18944
"진천군",42943,43017,43052,43049,35276,37213,39594,41323,42398,42751
"괴산군",21219,21219,21223,21183,20899,21256,22145,21851,21347,21304
"음성군",48355,48438,48535,48547,45571,46402,46831,47431,48292,48431
"단양군",15354,15339,15350,15373,15119,15211,15328,15072,15084,15272
"충청남도",1044592,1046334,1047238,1048152,943611,959255,983153,1001915,1019093,1035449
"천안시",309566,310208,310420,310825,273851,281333,291425,297987,302893,306418
"동남구",123677,124069,124219,124432,110982,113406,115586,116963,119122,121234
"서북구",185889,186139,186201,186393,162869,167927,175839,181024,183771,185184
"공주시",53510,53617,53637,53632,50134,50519,50966,51580,52394,53019
"보령시",49528,49549,49529,49493,47705,48324,49361,49419,49694,49709
"아산시",162275,162789,163138,163545,132159,135159,139580,145869,152249,159108
"서산시",84284,84396,84458,84399,75091,76748,79103,81407,82433,83565
"논산시",57669,57676,57662,57618,56729,57196,57826,58048,58137,57648
"계룡시",19527,19535,19538,19558,15860,15967,16531,17152,18051,19404
"당진시",83509,83666,83784,84030,75540,76162,77661,79526,81199,83058
"금산군",26775,26764,26751,26737,25588,25521,25897,25893,26180,26562
"부여군",32521,32491,32473,32453,33193,33341,33562,33257,32945,32667
"서천군",26541,26523,26514,26485,26433,26410,26794,26646,26666,26543
"청양군",16768,16779,16786,16752,16274,16296,16378,16426,16567,16722
"홍성군",48390,48450,48606,48664,45358,45920,46588,46746,46871,47463
"예산군",40336,40441,40452,40466,38060,38290,38946,39051,39605,40245
"태안군",33393,33450,33490,33495,31636,32069,32535,32908,33209,33318
"전북특별자치도",863318,863874,864100,864113,806235,816191,836660,849001,855849,861193
"전주시",297029,297353,297425,297407,266541,273753,284106,293207,296241,296394
"완산구",153521,153485,153426,153429,142949,143731,149040,152056,153551,153376
"덕진구",143508,143868,143999,143978,123592,130022,135066,141151,142690,143018
"전주시효자출장소",-,-,-,-,-,-,0,-,0,-
"군산시",124325,124466,124630,124754,117068,118264,121220,122250,123176,123996
"익산시",130191,130232,130247,130245,126516,126876,128400,129962,130068,130197
"익산시함열출장소",-,-,-,-,-,-,0,-,0,-
"정읍시",54737,54728,54691,54643,53110,53582,54335,54242,54528,54734
"남원시",39927,39959,39947,39926,38054,38427,39457,39670,39799,39839
"김제시",43789,43799,43823,43803,41618,41850,42459,42509,43215,43625
"완주군",49349,49400,49402,49405,41881,41800,43275,44020,45356,48652
"진안군",13691,13688,13698,13705,13023,13131,13406,13494,13513,13593
"무주군",13030,13029,13028,13041,12204,12421,12674,12823,12932,13008
"장수군",11553,11550,11549,11536,11327,11308,11554,11584,11611,11542
"임실군",14948,14961,14984,14976,14790,14788,14801,14899,14992,14916
"순창군",14378,14369,14390,14429,13877,13816,14097,13996,14132,14332
"고창군",28749,28717,28693,28690,28802,28735,29057,28757,28592,28733
"부안군",27622,27623,27593,27553,27424,27440,27819,27588,27694,27632
"전라남도",912121,912315,912551,912659,860303,872628,893152,903108,907710,911442
"목포시",104676,104704,104647,104689,101609,102481,103316,103162,104039,104375
"여수시",128987,128943,128909,128797,120810,123677,126988,128169,128720,128733
"순천시",126718,126791,126783,126857,113942,116946,121488,124029,124828,126412
"나주시",60254,60251,60218,60183,54872,56090,58025,59292,59865,60419
"광양시",70594,70801,71044,71294,64186,65725,65668,67103,68734,70162
"담양군",24405,24478,24451,24383,23129,23521,24369,24773,24787,24557
"곡성군",15556,15551,15549,15543,15132,15289,15414,15536,15512,15577
"구례군",13402,13420,13414,13395,13151,13243,13414,13462,13429,13432
"고흥군",35390,35377,35392,35365,34536,34791,35290,35379,35445,35360
"보성군",21933,21892,21862,21844,22459,22276,22628,22511,22282,21967
"화순군",31872,31888,31902,31907,29928,30103,31090,32012,32093,31976
"장흥군",19670,19652,19649,19645,20139,20143,20431,20103,19788,19691
"강진군",18412,18380,18362,18339,18352,18351,18612,18592,18550,18449
"해남군",34856,34866,34847,34807,34745,34824,35259,35225,35074,34916
"영암군",28846,28820,28788,28773,26851,27362,27827,28197,28353,28817
"무안군",43559,43627,43840,43993,36410,36722,40114,42739,43119,43436
"함평군",17997,17995,18006,17964,17751,17837,17995,17980,18010,18065
"영광군",27524,27487,27499,27543,26378,26687,27138,27112,27549,27602
"장성군",23403,23367,23369,23361,22095,22850,23178,23160,23358,23400
"완도군",25541,25520,25518,25486,25835,25872,26241,26029,25781,25602
"진도군",16533,16499,16498,16508,16110,16102,16840,16700,16578,16548
"신안군",21993,22006,22004,21983,21883,21736,21827,21843,21816,21946
"경상북도",1288344,1290433,1291330,1291611,1207351,1227548,1254662,1276846,1286873,1282500
"포항시",235432,235853,236110,236333,216654,220328,225693,232201,232371,233932
"남구",110529,110288,110198,110106,103887,104824,106025,109419,109532,110639
"북구",124903,125565,125912,126227,112767,115504,119668,122782,122839,123293
"경주시",124703,124786,124792,124951,116805,118542,121505,123071,124027,124577
"김천시",69193,69213,69135,69127,63443,65273,67122,68393,69038,69125
"안동시",79083,79717,80146,80120,73863,74827,76915,77666,77759,78283
"구미시",188523,188875,189150,189363,173269,176015,179889,182645,184786,187139
"영주시",51836,51799,51838,51817,48982,49063,49718,50271,50663,51423
"영천시",55478,55538,55530,55388,50020,51439,52861,53904,54431,54976
"상주시",49497,49505,49470,49438,47527,48796,48856,48965,49315,49493
"문경시",36815,36788,36799,36745,34644,35587,36268,37069,37056,36814
"경산시",130270,130850,131061,131170,112513,115537,119680,124869,127392,129264
"군위군",-,-,-,-,12784,12938,13096,13258,13693,-
"의성군",29415,29381,29323,29289,27822,28212,28750,28798,29005,29471
"청송군",14059,14058,14049,14018,13723,13862,14064,14029,14038,13999
"영양군",8988,8992,8994,8982,8913,8942,9127,9055,9070,8994
"영덕군",19660,19639,19619,19616,20123,20085,20153,19895,19741,19725
"청도군",23534,23544,23508,23489,22181,22473,22843,23251,23443,23525
"고령군",17208,17277,17298,17293,16204,16227,16497,16556,16758,17023
"성주군",24130,24116,24130,24123,22677,22915,23516,23621,23918,24059
